ID,area,skua50,pa_ratio,mean_slope,adjust_mean_elev,mean_aspect,mean_windshelt,flow_acc_log1p
1,68.19889832,0,0.696632981,16.83892441,5.115341187,247.6084375,0.070105556,0.28768208
2,19.89769936,0,1.691838861,7.094352245,7.171875,206.4920701,0.0252,1.791759469
3,2.563009977,0,4.007085323,49.12608337,1.453125,215.0282763,0.054099999,0
4,64.58329773,0,1.181283712,13.0747261,4.27545929,218.9060718,0.047652941,0.068992874
5,8.724309921,0,2.281383753,18.87924576,0.350097656,204.278828,0.103333334,0
6,12.72029972,1,1.273995161,11.15597153,3.289550781,353.4755961,0.141799998,0
7,19.76720047,1,1.742406607,2.694048882,3.634521484,231.324195,0.131725002,0
8,37.71149826,1,1.197125673,11.5628109,5.229686737,266.908143,0.095900001,0
9,113.8300018,1,1.029535294,8.298586845,8.635639191,301.565309,0.112565625,0
10,29.82419968,1,1.012124419,7.603130817,8.693080902,282.155109,0.1118,0
11,248.3410034,1,0.586689293,11.92963982,6.387554169,285.6454325,0.195171875,0
12,28.69409943,1,1.279482603,4.229907513,11.17578125,79.08883034,0.165560001,0
13,49.88869858,1,0.832354844,11.02074051,9.153469086,68.43602296,0.164777781,0
14,17.10129929,1,1.140094757,6.124904633,5.46484375,47.51043944,0.244779998,0
15,1.290330052,1,5.000526905,3.988463879,4.82421875,27.50678037,NA,0
16,NA,NA,NA,NA,NA,NA,NA,NA
17,27.95019913,1,1.177877188,6.749655247,4.677314758,23.75070261,0.307383334,0
18,26.38820076,1,0.929805696,6.745549202,5.374511719,27.17627512,0.308228578,0
19,127.3059998,0,0.618159354,16.54912758,8.896179199,26.22197273,0.323390908,0
20,614.9299927,1,0.725752532,4.790773869,16.09370422,358.9085853,0.049417391,0
21,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA
24,6.499229908,0,1.767763376,11.54464149,6.793457031,11.22979745,0.414700001,0
25,6.581830025,1,2.475861549,6.426298618,3.381835938,9.886937236,0.325300008,0.693147181
26,126.6299973,0,0.92440182,21.92633247,9.54504776,0.214969868,0.454972413,0
27,4.629039764,1,2.30525136,8.404255867,10.11328125,264.6384658,0.122000001,0
28,3.665719986,1,2.524614573,7.016898632,10.83789063,278.8582918,0.129600003,0
29,28.16990089,1,1.108175635,9.469567299,5.25390625,164.6811786,0.056783333,0
30,10.0468998,1,1.522748351,12.66333008,2.464191437,183.025511,0.079750001,0
